TransactionID,Date,Transaction_Amount,Sales_Category,Store,Expense By Category,Revenue By Category
156,1/29/2022,200,Cleaning,Store B,-200,900
157,1/30/2022,35,Grocery,Store A,-250,3000
158,1/31/2022,-200,Furniture,Store B,-700,2000
159,2/1/2022,-120,Sanitary,Store C,-600,1050
160,2/2/2022,-80,Kitchen,Store A,-400,1400
161,2/3/2022,34.11,Automobile,Store C,-2500,4000
162,2/4/2022,9.66,Cleaning,Store B,-200,900
163,2/5/2022,58.96,Grocery,Store A,-250,3000
164,2/6/2022,181.59,Furniture,Store B,-700,2000
165,2/7/2022,246.1,Sanitary,Store C,-600,1050
166,2/8/2022,314.72,Kitchen,Store A,-400,1400
167,2/9/2022,-100,Automobile,Store C,-2500,4000
168,2/10/2022,-150,Cleaning,Store B,-200,900
169,2/11/2022,-20,Grocery,Store A,-250,3000
170,2/12/2022,-30,Furniture,Store B,-700,2000
171,2/13/2022,100,Sanitary,Store C,-600,1050
172,2/14/2022,200,Kitchen,Store A,-400,1400
173,2/15/2022,35,Automobile,Store C,-2500,4000
174,2/16/2022,-200,Cleaning,Store B,-200,900
175,2/17/2022,-120,Grocery,Store A,-250,3000
176,2/18/2022,-80,Furniture,Store B,-700,2000
177,2/19/2022,18.70446678,Sanitary,Store C,-600,1050
178,2/20/2022,18.54854564,Kitchen,Store A,-400,1400
179,2/21/2022,18.39262449,Automobile,Store C,-2500,4000
180,2/22/2022,18.23670334,Cleaning,Store B,-200,900
181,2/23/2022,18.08078219,Grocery,Store A,-250,3000
182,2/24/2022,17.92486104,Furniture,Store B,-700,2000
183,2/25/2022,17.7689399,Sanitary,Store C,-600,1050
184,2/26/2022,17.61301875,Kitchen,Store A,-400,1400
185,2/27/2022,17.4570976,Automobile,Store C,-2500,4000
186,2/28/2022,17.30117645,Cleaning,Store B,-200,900
187,3/1/2022,17.14525531,Grocery,Store A,-250,3000
188,3/2/2022,16.98933416,Furniture,Store B,-700,2000
189,3/3/2022,16.83341301,Sanitary,Store C,-600,1050
190,3/4/2022,16.67749186,Kitchen,Store A,-400,1400
191,3/5/2022,16.52157071,Automobile,Store C,-2500,4000
192,3/6/2022,16.36564957,Cleaning,Store B,-200,900
193,3/7/2022,16.20972842,Grocery,Store A,-250,3000
194,3/8/2022,16.05380727,Furniture,Store B,-700,2000
195,3/9/2022,15.89788612,Sanitary,Store C,-600,1050
196,3/10/2022,15.74196497,Kitchen,Store A,-400,1400
197,3/11/2022,15.58604383,Automobile,Store C,-2500,4000
198,3/12/2022,15.43012268,Cleaning,Store B,-200,900
199,3/13/2022,15.27420153,Grocery,Store A,-250,3000
200,3/14/2022,15.11828038,Furniture,Store B,-700,2000
201,3/15/2022,14.96235924,Sanitary,Store C,-600,1050
202,3/16/2022,14.80643809,Kitchen,Store A,-400,1400
203,3/17/2022,14.65051694,Automobile,Store C,-2500,4000
204,3/18/2022,14.49459579,Cleaning,Store B,-200,900
205,3/19/2022,14.33867464,Grocery,Store A,-250,3000
206,3/20/2022,14.1827535,Furniture,Store B,-700,2000
207,3/21/2022,14.02683235,Sanitary,Store C,-600,1050
208,3/22/2022,13.8709112,Kitchen,Store A,-400,1400
209,3/23/2022,13.71499005,Automobile,Store C,-2500,4000
210,3/24/2022,13.55906891,Cleaning,Store B,-200,900
211,3/25/2022,13.40314776,Grocery,Store A,-250,3000
212,3/26/2022,13.24722661,Furniture,Store B,-700,2000
213,3/27/2022,13.09130546,Sanitary,Store C,-600,1050
214,3/28/2022,12.93538431,Kitchen,Store A,-400,1400
215,3/29/2022,12.77946317,Automobile,Store C,-2500,4000
216,3/30/2022,12.62354202,Cleaning,Store B,-200,900
217,3/31/2022,12.46762087,Grocery,Store A,-250,3000
218,4/1/2022,12.31169972,Furniture,Store B,-700,2000
219,4/2/2022,12.15577857,Sanitary,Store C,-600,1050
220,4/3/2022,11.99985743,Kitchen,Store A,-400,1400
221,4/4/2022,11.84393628,Automobile,Store C,-2500,4000
222,4/5/2022,11.68801513,Cleaning,Store B,-200,900
223,4/6/2022,11.53209398,Grocery,Store A,-250,3000
224,4/7/2022,11.37617284,Furniture,Store B,-700,2000
225,4/8/2022,11.22025169,Sanitary,Store C,-600,1050
226,4/9/2022,11.06433054,Kitchen,Store A,-400,1400
227,4/10/2022,10.90840939,Automobile,Store C,-2500,4000
228,4/11/2022,10.75248824,Cleaning,Store B,-200,900
229,4/12/2022,10.5965671,Grocery,Store A,-250,3000
230,4/13/2022,10.44064595,Furniture,Store B,-700,2000
231,4/14/2022,10.2847248,Sanitary,Store C,-600,1050
232,4/15/2022,10.12880365,Kitchen,Store A,-400,1400
233,4/16/2022,9.972882505,Automobile,Store C,-2500,4000
234,4/17/2022,9.816961358,Cleaning,Store B,-200,900
235,4/18/2022,9.66104021,Grocery,Store A,-250,3000
236,4/19/2022,9.505119062,Furniture,Store B,-700,2000
237,4/20/2022,9.349197914,Sanitary,Store C,-600,1050
238,4/21/2022,9.193276766,Kitchen,Store A,-400,1400
239,4/22/2022,9.037355619,Automobile,Store C,-2500,4000
240,4/23/2022,8.881434471,Cleaning,Store B,-200,900
241,4/24/2022,8.725513323,Grocery,Store A,-250,3000
242,4/25/2022,8.569592175,Furniture,Store B,-700,2000
243,4/26/2022,8.413671027,Sanitary,Store C,-600,1050
244,4/27/2022,8.257749879,Kitchen,Store A,-400,1400
245,4/28/2022,8.101828732,Automobile,Store C,-2500,4000
246,4/29/2022,7.945907584,Cleaning,Store B,-200,900
247,4/30/2022,7.789986436,Grocery,Store A,-250,3000
248,5/1/2022,7.634065288,Furniture,Store B,-700,2000
249,5/2/2022,7.47814414,Sanitary,Store C,-600,1050
250,5/3/2022,7.322222993,Kitchen,Store A,-400,1400
251,5/4/2022,7.166301845,Automobile,Store C,-2500,4000
252,5/5/2022,7.010380697,Cleaning,Store B,-200,900
253,5/6/2022,6.854459549,Grocery,Store A,-250,3000
254,5/7/2022,6.698538401,Furniture,Store B,-700,2000
255,5/8/2022,6.542617253,Sanitary,Store C,-600,1050
256,5/9/2022,6.386696106,Kitchen,Store A,-400,1400
257,5/10/2022,6.230774958,Automobile,Store C,-2500,4000
258,5/11/2022,6.07485381,Cleaning,Store B,-200,900
259,5/12/2022,5.918932662,Grocery,Store A,-250,3000
260,5/13/2022,5.763011514,Furniture,Store B,-700,2000
261,5/14/2022,5.607090367,Sanitary,Store C,-600,1050
262,5/15/2022,5.451169219,Kitchen,Store A,-400,1400
263,5/16/2022,5.295248071,Automobile,Store C,-2500,4000
264,5/17/2022,5.139326923,Cleaning,Store B,-200,900
265,5/18/2022,4.983405775,Grocery,Store A,-250,3000
266,5/19/2022,4.827484627,Furniture,Store B,-700,2000
267,5/20/2022,4.67156348,Sanitary,Store C,-600,1050
268,5/21/2022,4.515642332,Kitchen,Store A,-400,1400
269,5/22/2022,4.359721184,Automobile,Store C,-2500,4000
270,5/23/2022,4.203800036,Cleaning,Store B,-200,900
271,5/24/2022,4.047878888,Grocery,Store A,-250,3000
272,5/25/2022,3.891957741,Furniture,Store B,-700,2000
273,5/26/2022,3.736036593,Sanitary,Store C,-600,1050
274,5/27/2022,3.580115445,Kitchen,Store A,-400,1400
275,5/28/2022,3.424194297,Automobile,Store C,-2500,4000
276,5/29/2022,3.268273149,Cleaning,Store B,-200,900
277,5/30/2022,3.112352001,Grocery,Store A,-250,3000
278,5/31/2022,2.956430854,Furniture,Store B,-700,2000
279,6/1/2022,2.800509706,Sanitary,Store C,-600,1050
280,6/2/2022,2.644588558,Kitchen,Store A,-400,1400
281,6/3/2022,2.48866741,Automobile,Store C,-2500,4000
282,6/4/2022,2.332746262,Cleaning,Store B,-200,900
283,6/5/2022,2.176825115,Grocery,Store A,-250,3000
284,6/6/2022,2.020903967,Furniture,Store B,-700,2000
285,6/7/2022,1.864982819,Sanitary,Store C,-600,1050
286,6/8/2022,1.709061671,Kitchen,Store A,-400,1400
287,6/9/2022,1.553140523,Automobile,Store C,-2500,4000
288,6/10/2022,1.397219375,Cleaning,Store B,-200,900
289,6/11/2022,1.241298228,Grocery,Store A,-250,3000
290,6/12/2022,1.08537708,Furniture,Store B,-700,2000
291,6/13/2022,0.929455932,Sanitary,Store C,-600,1050
292,6/14/2022,0.773534784,Kitchen,Store A,-400,1400
293,6/15/2022,0.617613636,Automobile,Store C,-2500,4000
294,6/16/2022,0.461692489,Cleaning,Store B,-200,900
295,6/17/2022,0.305771341,Grocery,Store A,-250,3000
296,6/18/2022,0.149850193,Furniture,Store B,-700,2000
297,6/19/2022,-0.006070955,Sanitary,Store C,-600,1050
298,6/20/2022,-0.161992103,Kitchen,Store A,-400,1400
299,6/21/2022,-0.317913251,Automobile,Store C,-2500,4000
300,6/22/2022,-0.473834398,Cleaning,Store B,-200,900
301,6/23/2022,-0.629755546,Grocery,Store A,-250,3000
302,6/24/2022,-0.785676694,Furniture,Store B,-700,2000
303,6/25/2022,-0.941597842,Sanitary,Store C,-600,1050
304,6/26/2022,-1.09751899,Kitchen,Store A,-400,1400
305,6/27/2022,-1.253440137,Automobile,Store C,-2500,4000
306,6/28/2022,-1.409361285,Cleaning,Store B,-200,900
307,6/29/2022,-1.565282433,Grocery,Store A,-250,3000
308,6/30/2022,-1.721203581,Furniture,Store B,-700,2000
309,7/1/2022,-1.877124729,Sanitary,Store C,-600,1050
310,7/2/2022,-2.033045877,Kitchen,Store A,-400,1400
311,7/3/2022,-2.188967024,Automobile,Store C,-2500,4000
312,7/4/2022,-2.344888172,Cleaning,Store B,-200,900
313,7/5/2022,-2.50080932,Grocery,Store A,-250,3000
314,7/6/2022,-2.656730468,Furniture,Store B,-700,2000
315,7/7/2022,-2.812651616,Sanitary,Store C,-600,1050
316,7/8/2022,-2.968572763,Kitchen,Store A,-400,1400
317,7/9/2022,-3.124493911,Automobile,Store C,-2500,4000
318,7/10/2022,-3.280415059,Cleaning,Store B,-200,900
319,7/11/2022,-3.436336207,Grocery,Store A,-250,3000
320,7/12/2022,-3.592257355,Furniture,Store B,-700,2000
321,7/13/2022,-3.748178503,Sanitary,Store C,-600,1050
322,7/14/2022,-3.90409965,Kitchen,Store A,-400,1400
323,7/15/2022,-4.060020798,Automobile,Store C,-2500,4000
324,7/16/2022,-4.215941946,Cleaning,Store B,-200,900
325,7/17/2022,-4.371863094,Grocery,Store A,-250,3000
326,7/18/2022,-4.527784242,Furniture,Store B,-700,2000
327,7/19/2022,-4.683705389,Sanitary,Store C,-600,1050
328,7/20/2022,-4.839626537,Kitchen,Store A,-400,1400
329,7/21/2022,-4.995547685,Automobile,Store C,-2500,4000
330,7/22/2022,-5.151468833,Cleaning,Store B,-200,900
331,7/23/2022,-5.307389981,Grocery,Store A,-250,3000
332,7/24/2022,-5.463311129,Furniture,Store B,-700,2000
333,7/25/2022,-5.619232276,Sanitary,Store C,-600,1050
334,7/26/2022,-5.775153424,Kitchen,Store A,-400,1400
335,7/27/2022,-5.931074572,Automobile,Store C,-2500,4000
336,7/28/2022,-6.08699572,Cleaning,Store B,-200,900
337,7/29/2022,-6.242916868,Grocery,Store A,-250,3000
338,7/30/2022,-6.398838015,Furniture,Store B,-700,2000
339,7/31/2022,-6.554759163,Sanitary,Store C,-600,1050
340,8/1/2022,-6.710680311,Kitchen,Store A,-400,1400
341,8/2/2022,-6.866601459,Automobile,Store C,-2500,4000
342,8/3/2022,-7.022522607,Cleaning,Store B,-200,900
343,8/4/2022,-7.178443755,Grocery,Store A,-250,3000
344,8/5/2022,-7.334364902,Furniture,Store B,-700,2000
345,8/6/2022,-7.49028605,Sanitary,Store C,-600,1050
346,8/7/2022,-7.646207198,Kitchen,Store A,-400,1400
347,8/8/2022,-7.802128346,Automobile,Store C,-2500,4000
348,8/9/2022,-7.958049494,Cleaning,Store B,-200,900
349,8/10/2022,-8.113970641,Grocery,Store A,-250,3000
350,8/11/2022,-8.269891789,Furniture,Store B,-700,2000
351,8/12/2022,-8.425812937,Sanitary,Store C,-600,1050
352,8/13/2022,-8.581734085,Kitchen,Store A,-400,1400
353,8/14/2022,-8.737655233,Automobile,Store C,-2500,4000
354,8/15/2022,-8.893576381,Cleaning,Store B,-200,900
355,8/16/2022,-9.049497528,Grocery,Store A,-250,3000
356,8/17/2022,-9.205418676,Furniture,Store B,-700,2000
357,8/18/2022,-9.361339824,Sanitary,Store C,-600,1050
358,8/19/2022,-9.517260972,Kitchen,Store A,-400,1400
359,8/20/2022,-9.67318212,Automobile,Store C,-2500,4000
360,8/21/2022,-9.829103267,Cleaning,Store B,-200,900
361,8/22/2022,-9.985024415,Grocery,Store A,-250,3000
362,8/23/2022,-10.14094556,Furniture,Store B,-700,2000
363,8/24/2022,-10.29686671,Sanitary,Store C,-600,1050
364,8/25/2022,-10.45278786,Kitchen,Store A,-400,1400
365,8/26/2022,-10.60870901,Automobile,Store C,-2500,4000
366,8/27/2022,-10.76463015,Cleaning,Store B,-200,900
367,8/28/2022,-10.9205513,Grocery,Store A,-250,3000
368,8/29/2022,-11.07647245,Furniture,Store B,-700,2000
369,8/30/2022,-11.2323936,Sanitary,Store C,-600,1050
370,8/31/2022,-11.38831475,Kitchen,Store A,-400,1400
371,9/1/2022,-11.54423589,Automobile,Store C,-2500,4000
372,9/2/2022,-11.70015704,Cleaning,Store B,-200,900
373,9/3/2022,-11.85607819,Grocery,Store A,-250,3000
374,9/4/2022,-12.01199934,Furniture,Store B,-700,2000
375,9/5/2022,-12.16792048,Sanitary,Store C,-600,1050
376,9/6/2022,-12.32384163,Kitchen,Store A,-400,1400
377,9/7/2022,-12.47976278,Automobile,Store C,-2500,4000
378,9/8/2022,-12.63568393,Cleaning,Store B,-200,900
379,9/9/2022,-12.79160508,Grocery,Store A,-250,3000
380,9/10/2022,-12.94752622,Furniture,Store B,-700,2000
381,9/11/2022,-13.10344737,Sanitary,Store C,-600,1050
382,9/12/2022,-13.25936852,Kitchen,Store A,-400,1400
383,9/13/2022,-13.41528967,Automobile,Store C,-2500,4000
384,9/14/2022,-13.57121082,Cleaning,Store B,-200,900
385,9/15/2022,-13.72713196,Grocery,Store A,-250,3000
386,9/16/2022,-13.88305311,Furniture,Store B,-700,2000
387,9/17/2022,-14.03897426,Sanitary,Store C,-600,1050
388,9/18/2022,-14.19489541,Kitchen,Store A,-400,1400
389,9/19/2022,-14.35081655,Automobile,Store C,-2500,4000
390,9/20/2022,-14.5067377,Cleaning,Store B,-200,900
391,9/21/2022,-14.66265885,Grocery,Store A,-250,3000
392,9/22/2022,-14.81858,Furniture,Store B,-700,2000
393,9/23/2022,-14.97450115,Sanitary,Store C,-600,1050
394,9/24/2022,-15.13042229,Kitchen,Store A,-400,1400
395,9/25/2022,12,Automobile,Store C,-2500,4000
396,9/26/2022,123,Cleaning,Store B,-200,900
397,9/27/2022,23,Grocery,Store A,-250,3000
398,9/28/2022,89.80284269,Furniture,Store B,-700,2000
399,9/29/2022,111.2107851,Sanitary,Store C,-600,1050
400,9/30/2022,132.6187276,Kitchen,Store A,-400,1400
401,10/1/2022,154.0266701,Automobile,Store C,-2500,4000
402,10/2/2022,175.4346125,Cleaning,Store B,-200,900
403,10/3/2022,196.842555,Grocery,Store A,-250,3000
404,10/4/2022,218.2504974,Furniture,Store B,-700,2000
405,10/5/2022,239.6584399,Sanitary,Store C,-600,1050
406,10/6/2022,261.0663824,Kitchen,Store A,-400,1400
407,10/7/2022,282.4743248,Automobile,Store C,-2500,4000
408,10/8/2022,303.8822673,Cleaning,Store B,-200,900
409,10/9/2022,325.2902097,Grocery,Store A,-250,3000
410,10/10/2022,346.6981522,Furniture,Store B,-700,2000
411,10/11/2022,368.1060946,Sanitary,Store C,-600,1050
412,10/12/2022,389.5140371,Kitchen,Store A,-400,1400
413,10/13/2022,410.9219796,Automobile,Store C,-2500,4000
414,10/14/2022,432.329922,Cleaning,Store B,-200,900
415,10/15/2022,453.7378645,Grocery,Store A,-250,3000
416,10/16/2022,475.1458069,Furniture,Store B,-700,2000
417,10/17/2022,496.5537494,Sanitary,Store C,-600,1050
418,10/18/2022,517.9616919,Kitchen,Store A,-400,1400
419,10/19/2022,539.3696343,Automobile,Store C,-2500,4000
420,10/20/2022,560.7775768,Cleaning,Store B,-200,900
421,10/21/2022,582.1855192,Grocery,Store A,-250,3000
422,10/22/2022,603.5934617,Furniture,Store B,-700,2000
423,10/23/2022,625.0014041,Sanitary,Store C,-600,1050
424,10/24/2022,646.4093466,Kitchen,Store A,-400,1400
425,10/25/2022,667.8172891,Automobile,Store C,-2500,4000
426,10/26/2022,689.2252315,Cleaning,Store B,-200,900
427,10/27/2022,710.633174,Grocery,Store A,-250,3000
428,10/28/2022,732.0411164,Furniture,Store B,-700,2000
429,10/29/2022,753.4490589,Sanitary,Store C,-600,1050
430,10/30/2022,774.8570014,Kitchen,Store A,-400,1400
431,10/31/2022,796.2649438,Automobile,Store C,-2500,4000
432,11/1/2022,817.6728863,Cleaning,Store B,-200,900
433,11/2/2022,839.0808287,Grocery,Store A,-250,3000
434,11/3/2022,860.4887712,Furniture,Store B,-700,2000
435,11/4/2022,881.8967136,Sanitary,Store C,-600,1050
436,11/5/2022,903.3046561,Kitchen,Store A,-400,1400
437,11/6/2022,924.7125986,Automobile,Store C,-2500,4000
438,11/7/2022,946.120541,Cleaning,Store B,-200,900
439,11/8/2022,967.5284835,Grocery,Store A,-250,3000
440,11/9/2022,988.9364259,Furniture,Store B,-700,2000
441,11/10/2022,1010.344368,Sanitary,Store C,-600,1050
442,11/11/2022,1031.752311,Kitchen,Store A,-400,1400
443,11/12/2022,1053.160253,Automobile,Store C,-2500,4000
444,11/13/2022,1074.568196,Cleaning,Store B,-200,900
445,11/14/2022,1095.976138,Grocery,Store A,-250,3000
446,11/15/2022,1117.384081,Furniture,Store B,-700,2000
447,11/16/2022,1138.792023,Sanitary,Store C,-600,1050
448,11/17/2022,1160.199966,Kitchen,Store A,-400,1400
449,11/18/2022,1181.607908,Automobile,Store C,-2500,4000
450,11/19/2022,1203.015851,Cleaning,Store B,-200,900
451,11/20/2022,1224.423793,Grocery,Store A,-250,3000
452,11/21/2022,1245.831735,Furniture,Store B,-700,2000
453,11/22/2022,1267.239678,Sanitary,Store C,-600,1050
454,11/23/2022,1288.64762,Kitchen,Store A,-400,1400
455,11/24/2022,1310.055563,Automobile,Store C,-2500,4000
456,11/25/2022,1331.463505,Cleaning,Store B,-200,900
457,11/26/2022,1352.871448,Grocery,Store A,-250,3000
458,11/27/2022,1374.27939,Furniture,Store B,-700,2000
459,11/28/2022,-12,Sanitary,Store C,-600,1050
460,11/29/2022,-20,Kitchen,Store A,-400,1400
461,11/30/2022,35,Automobile,Store C,-2500,4000
462,12/1/2022,90,Cleaning,Store B,-200,900
463,12/2/2022,100,Grocery,Store A,-250,3000
464,12/3/2022,150,Furniture,Store B,-700,2000
465,12/4/2022,-12.79160508,Sanitary,Store C,-600,1050
466,12/5/2022,-12.94752622,Kitchen,Store A,-400,1400
467,12/6/2022,-13.10344737,Automobile,Store C,-2500,4000
468,12/7/2022,-13.25936852,Cleaning,Store B,-200,900
469,12/8/2022,-13.41528967,Grocery,Store A,-250,3000
470,12/9/2022,-13.57121082,Furniture,Store B,-700,2000
